id	bank_ch	site_ch	status	keyed	keyed_text	best	best_text	source	note	question
605	ar-6	ar-4	VERIFIED	B	2000’			Doc 4444 5.3.2 (2000 ft above FL290 outside RVSM)		Vertical separation in CVSM airspaces above FL 290 is:
606	ar-8	ar-19, ar-21	VERIFIED	A	Notifiable Accident			Aircraft (Investigation of Accidents and Incidents) Rules 2025 r.2 accident def. (direct exposure to jet blast)		A worker working close to the runway is thrown off and seriously injured by a jet blast from a departing aircraft it is an
607	ar-3	ar-3	VERIFIED	B	8 kms			AIP India ENR 1.2 §1 (8 km at/above 10000 ft)		Minimum visibility required to fly at 12000’ for a VFR flt is
608	ar-6	ar-4	VERIFIED	D	E			AIP India ENR 1.4 Class E		ATC services are provided to IFR flts and traffic information to VFR flts as far as practical provided in class airspace:
609	ar-3	ar-3	VERIFIED	C	125, 145, 165, 185			Annex 2 App 3		Cruising level available on a magnetic track of 300 degrees are
610	ar-7	ar-9, ar-11	FLAGGED	A	White			as #128	outdated	Route designator for domestic routes is:
611	ar-4	ar-7, ar-12	VERIFIED	C	Keep away from danger area			Annex 2 App 1 1.4	option wording narrower than the rule (restricted/prohibited/danger) but only C matches	Series of red and green projection fired at an interval of 10 sees means:
612	ar-5	ar-5, ar-6, ar-8	VERIFIED	C	2000’			as #444		Vertical separation applicable to non-RVSM aircraft operating in RVSM airspaces is
613	ar-6	ar-4	VERIFIED	B	runway in use			Annex 2 App 1 4.2.5.2		Two digits in black over yellow black ground hanging from the tower indicates
614	ar-7	ar-9, ar-11	FLAGGED	A	Geometric centre of an aerodrome	A	Geometric centre of an aerodrome	CAR Sec 4 Series B Pt I 2.2.2 (ARP located near the initial or planned geometric centre)	A matches the location rule; C (designated point) is the definition - both defensible	ARP is at the:
615	ar-6	ar-4	VERIFIED	C	First report after 30 mins and subsequent reports after 60 mins			Doc 4444 4.11.1.2		Position reports to be given by an aircraft, if no route is being followed will be at an interval of:
616	ar-10	ar-22, ar-25, ar-26	CORRECTED (proposed, not applied)	B	700 hPa	A	620 hPa	as #455		Oxygen is carried on board for all crew members and passengers when at atmospheric pressure will be less than:
617	ar-4	ar-7, ar-12	FLAGGED	D	100’ & upto 350m	D	100’ & upto 350m	as #482		In Cat II, What is DH & RVR?
618	ar-2	ar-2, ar-14, ar-15	VERIFIED	B	5 years			as #97		Personnel are required to maintain their log books for a period of --- years after the date of last entry:
619	ar-7	ar-9, ar-11	VERIFIED	C	Area including runways / taxiways / aprons			Annex 2 def. Movement area		Movement area of an aerodrome constitutes the following
620	ar-1	ar-1	VERIFIED	A	125 hours			Aircraft Rules r.42A (125 h / 30 days)		PIC of an aeroplane can fly for a maximum number of hours in a period of consecutive 30 Days:
621	ar-2	ar-2, ar-14, ar-15	FLAGGED	C	6 months and 2 years			as #574	outdated	Validity of ATPL medical and licence is
622	ar-9	ar-13	VERIFIED	B	2			Aircraft Rules r.38B: 83 seats = 2		Cabin crew required for a passenger plane with 83 seating capacity is
623	ar-8	ar-19, ar-21	VERIFIED	C	. annex 17			Annex 17		ICAO annex dealing with Acts of unlawful interference is
624	ar-9	ar-13	VERIFIED	D	49000 ft			Ops textbook (above 49 000 ft)		Personnel flying above altitude of ___ feet are required to maintain a separate log to calculate hours of exposure to radiation:
625	ar-3	ar-3	VERIFIED	B	Green on starboard, red on port 110 deg each			14 CFR 25.1385/1387		Navigation lights of an aeroplane cover the following sectors
626	ar-9	ar-13	VERIFIED	B	ETOPS			CAR Sec 8 Series S Pt I (ETOPS evolved to EDTO; twin-engine extended operations)		Twin engine operations are governed by:
627	ar-6	ar-4	VERIFIED	D	Both a and c above			Annex 2 def. Control area		Control area is
628	ar-9	ar-13	VERIFIED	A	15 mtrs			as #215		When refueling operations are in progress, unauthorized persons are prohibited within
629	ar-13	ar-18	VERIFIED	C	Aerodrome unsafe, do not land			Annex 2 App 1 3.1		Series of red flashes directed towards an aircraft in flight indicate
630	ar-10	ar-22, ar-25, ar-26	VERIFIED	B	as in ‘a’ and during the flight			Aircraft Rules r.24 via CAR Sec 5 F Pt III 1.3 (12 h before and during the flight)		The crew of an aircraft should not consume alcoholic drink
631	ar-8	ar-19, ar-21	FLAGGED	D	incident 48 hrs, accident 24 hours			Aircraft (Investigation of Accidents and Incidents) Rules 2025 r.4(1)	both accident and incident are now 24 h; no option says so - rewrite	An aircraft incident and accident is to be reported within
632	ar-6	ar-4	VERIFIED	B	20 nm over land and 20 nm over sea			CAR Sec 9 Series R Pt I 1.2 (route width of 20 nautical miles)		Width of an airway is
633	ar-3	ar-3	VERIFIED	D	all above are correct			Annex 2 App 1 §1.? (10-second red/green projectiles: restricted, prohibited or danger area)		A series of red and green pyrotechnics fired towards and aircraft indicate
634	ar-3	ar-3	VERIFIED	C	As ‘b’ and land at aerodrome outside the prohibited area			Aircraft Rules r.12(2): give distress signal, land ASAP outside the prohibited area at a nearest aerodrome		As a PIC you find yourself over a prohibited area, you will
635	ar-13	ar-18	VERIFIED	A	urgency			Annex 2 App 1 2.1 a) (repeated switching of landing lights = urgency)		The repeated switching on and off of the landing lights indicate
636	ar-10	ar-22, ar-25, ar-26	VERIFIED	C	Carry oxygen for all crew members and passengers, in the event of loss of pressurization, pressure in the compartment would be less than 700 mb			CAR Sec 8 Series O Pt II 4.3.9.2		A pressurized flight shall
637	ar-7	ar-9, ar-11	VERIFIED	C	AIC			AIP India GEN 3.1 (AIC: purely explanatory or advisory)		General information of purely explanatory or advisory nature are promulgated through
638	ar-13	ar-18	BLOCKED	A	6 months			flight-plan retention period not found		A flight plan shall be preserved by the operator for a period of
639	ar-13	ar-18	VERIFIED	D	all above			Doc 4444 scope		Doc 4444 relates to
640	ar-6	ar-4	VERIFIED	D	10 minutes			as #544		An aircraft transiting from one FIR to next FIR shall request transfer to ATC at least
641	ar-5	ar-5, ar-6, ar-8	VERIFIED	B	ascending flight level, descending altitude			AIP India ENR 1.7 §2.1.2 (ascending FL, descending altitude)		While ascending through the transition level and descending through, height of the aircraft shall be reported
642	ar-4	ar-7, ar-12	VERIFIED	D	All above			CAR Sec 8 Series C Pt I 1 (take-off in RVR/visibility and cloud if necessary; landing in visibility/RVR and DA/H or MDA/H)		The operating minima for an aerodrome are expressed in terms of
643	ar-13	ar-18	VERIFIED	A	AIP			AIP India GEN 1.2 / GEN 1.3 (entry, transit and departure requirements)		Corrections to charts relating to entry/exit requirements are given in
644	ar-1	ar-1	VERIFIED	B	Lamberts conical conformal			as #572		Jeppessen charts use widely
645	ar-3	ar-3	FLAGGED	D	All above is correct	D	All above is correct	Annex 2 2.3.1; Aircraft Rules r.22/23 (PIC maintains good order and discipline)	D defensible; option A is a subset, so "all above" is the intended key	PIC of an aeroplane shall
646	ar-5	ar-5, ar-6, ar-8	VERIFIED	C	MSA			PANS-OPS (Air Law textbook ch.7-8 / Captain PANS-OPS notes) (MSA within 46 km / 25 NM)		The minimum safest altitude that the aircraft can descend below the transition altitude within 25 NMs of an aerodrome area is given by
647	ar-4	ar-7, ar-12	VERIFIED	D	MDH			as #566		In a non precision approach, the minimum height that the pilot can descend to is given by
648	ar-4	ar-7, ar-12	VERIFIED	C	DA			Doc 8168 def. DA/H		Pilot in command of an aircraft on precision approach cannot execute a landing unless he has the runway visual references in contact before he can descend below
649	ar-2	ar-2, ar-14, ar-15	FLAGGED	D	He has made 3 take offs and landings on the aerodromes along the route within the last 3 months	D	He has made 3 take offs and landings on the aerodromes along the route within the last 3 months	CAR Sec 8 Series O Pt II 9.4.1.1 (3 take-offs and landings within the preceding 90 days, on type)	D is closest, but the rule is recency on type, not "aerodromes along the route"	An operator can designate as a PIC of an aeroplane only if
650	ar-1	ar-1	FLAGGED	D	He has flown as a copilot of an aeroplane along the route for minimum of last 12 months	D	He has flown as a copilot of an aeroplane along the route for minimum of last 12 months	CAR Sec 8 Series O Pt II 9.4.3	the rule is one trip in 12 months, not "flown as co-pilot for 12 months"	An operator can designate as a PIC of an aeroplane if
651	ar-12	ar-16, ar-17, ar-20	DROPPED (recommended)	A	fuel for take off taxi holding and landing, plus 30 minutes of reserve			malformed	options C and D are one answer split by extraction	A turbojet aircraft is required to carry minimum amount of fuel as
652	ar-6	ar-4	VERIFIED	A	15min			Doc 4444 5.4.2.2.1.2 a)		A/c on same level converging track has separation
653	ar-4	ar-7, ar-12	VERIFIED	B	Does not qualify as a NOTAM or an inclusion in AIP, but relates to flight safety, air navigation, administrative or legislative matters.			Annex 15 def. AIC (AIP India GEN 3.1)		Aeronautical information circulars provide information that:
654	ar-8	ar-19, ar-21	FLAGGED	C	The oldest accumulated data at the time of testing should be erased.	B	The oldest recorded data at the time of testing may be erased	14 CFR 121.343(h)	the rule says oldest data MAY be erased; keyed C says it SHOULD be - B is the correct wording	To acquire a valid a test for flight data recorder, at least 1hr of the data should be deleted
655	ar-9	ar-13	VERIFIED	A	49,000ft			as #624		An operator must maintain medical records of flight crew for radiation exposure above
656	ar-10	ar-22, ar-25, ar-26	VERIFIED	B	12hrs			as #75		What is the time limit that a pilot should not fly when under the influence of alcohol?
657	ar-8	ar-19, ar-21	VERIFIED	B	safeguarding acts of unlawful interference			Annex 17		Annex 17 contains what information
658	ar-6	ar-4	VERIFIED	B	5km			AIP India ENR 1.2 §1 (at/below 3000 ft, class G: 5 km)		What should be the flight visibility of an a/c flying at 3000’ in class G airspace
659	ar-5	ar-5, ar-6, ar-8	VERIFIED	A	7700			Annex 2 App 2 / SSR code 7700		Transponder code for distress is:
660	ar-6	ar-4	VERIFIED	A	IFR only			AIP India ENR 1.4 Class A		What type of flight is allowed in class A airspace
661	ar-9	ar-13	VERIFIED	C	4			Aircraft Rules r.38B: 150 seats = 2 + ceil(51/50) = 4		An a/c with seating capacity of 150, what is the number of flight attendants required to be
662	ar-6	ar-4	VERIFIED	A	Immediately after take off.			Doc 4444 4.3.2.1.3 b) 1) (IMC: immediately after airborne)		In IMC aircraft changes from aerodrome control tower to approach control
663	ar-7	ar-9, ar-11	VERIFIED	D	3 white and 1 red			CAR Sec 4 Series B Pt I 5.3.5 (PAPI above slope: unit nearest runway red, three white)		What lights would a pilot slightly above glide slope see on a PAPI.
664	ar-3	ar-3	VERIFIED	A	Over prohibited area, restricted area or danger area.			Annex 2 App 1		Red and green flashes fired at an interval of 10 sacs indicate.
665	ar-1	ar-1	FLAGGED	C	While dashes lie towards nearest runway.			FAA AIM 2-3 (holding position markings are yellow)	options say "white" (and "While" - typo); malformed	At runway and taxiway holding lines:
666	ar-7	ar-9, ar-11	VERIFIED	C	White paired variable lights with 30 mtr longitudinal spacing			CAR Sec 4 Series B Pt I 5.3.13 (TDZ lights variable white barrettes; 30 m spacing advised)		Identifier TDZL is _________:
667	ar-9	ar-13	FLAGGED	A	30 min	A	30 min	as #674		You have diverted your flt to field alternate. In what time you have to intimate to your original destination:
668	ar-6	ar-4	VERIFIED	D	first report after 30 mins and subsequent after 60 mins			Doc 4444 4.11.1.2		Position report should be given in…
669	ar-10	ar-22, ar-25, ar-26	VERIFIED	A	Spatial disorientation			FAA AIM 8-1		Abrupt head movement in a step turn may causes…
670	ar-10	ar-22, ar-25, ar-26	CONSISTENT (not document-checked)	C	Rising and falling			as #134		Centrifugal force without visual aids can be interpreted by a pilot as:
671	ar-1	ar-1	VERIFIED	A	Black letter in yellow background			Air Law textbook 20.44 (inscription in black on yellow)		Destination and information sings are.
672	ar-3	ar-3	VERIFIED	C	Dim white light			FAA AIM 8-1-6 (red light severely distorts colours on charts; white cockpit lighting needed for map reading)		Cockpit lights are
673	ar-10	ar-22, ar-25, ar-26	VERIFIED	C	Insufficient CO2			FAA AIM 8-1		Hyperventilation is:
674	ar-6	ar-4	FLAGGED	C	30 min	C	30 min	CAR Sec 9 Series C Pt I 3.3.5 (arrival report as soon as practicable); CAR Sec 9 Series E Pt I 5.2.1 a) (uncertainty phase at 30 min)	no rule sets "inform ATC if delayed 30 min"; 30 min is the SAR trigger	On x-country flt you divert to another aerodrome, you have to inform ATC if delayed by:
675	ar-1	ar-1	VERIFIED	A	A/c flying away from you			14 CFR 25.1385/1387 (white tail light seen = aircraft moving away)		If you see a white and flashing red light, ac is
676	ar-3	ar-3	VERIFIED	C	Green light			as #299		A/c passing from left to right you will see
677	ar-9	ar-13	VERIFIED	B	49,000’			as #624		Record to be maintained for months for radiation if flying above…
678	ar-1	ar-1	VERIFIED	B	0427			Doc 4444 5.4.2.2.1.2 a)		One a/c is tracking 030 degree reporting over a point at 0412 hrs other on 100 degree cannot pass this point before:
679	ar-8	ar-19, ar-21	VERIFIED	A	Investigation for accidents and incidents			as #121		FDR and CVR are used for
680	ar-9	ar-13	VERIFIED	C	5 nm and below 1000’ AGL			AIP India ENR 5.2.2		ADC is not required if flying in
681	ar-3	ar-3	VERIFIED	B	6000’			as #118		Aerobatics with in 2 nm of airport can not be done below…
682	ar-8	ar-19, ar-21	VERIFIED	C	17			Annex 17		Unlawful interference is given in annexure:
683	ar-1	ar-1	VERIFIED	B	6			Annex 6		Aircraft operation are given in annexure:
684	ar-7	ar-9, ar-11	VERIFIED	B	AIP			AIP AD 2		SIDs are available in:
685	ar-9	ar-13	VERIFIED	C	8 days			as #182		Incubation period for relapsing fever is:
686	ar-3	ar-3	VERIFIED	A	5 km			AIP India ENR 1.2 §1		Visibility required for VFR flight below 3000’ or 1000’ terrain clearance is
687	ar-3	ar-3	VERIFIED	C	Aircraft on the left will give way			Annex 2 3.2.2.3		Two a/c of same category converging…
688	ar-1	ar-1	FLAGGED	D	0550 hrs			CAR Sec 9 Series C Pt I 4.3	correct time 0530 is not among the options - rewrite	time is 0550 hrs VFR flt can take off at
689	ar-10	ar-22, ar-25, ar-26	VERIFIED	B	Farther then normal			FAA AIM 8-1 (haze/fog: greater distance)		Due to fog other a/c will appear to be
690	ar-8	ar-19, ar-21	VERIFIED	A	Not more then one hour accumulated for testing purpose.			as #538		Data can be removed from FDR.
691	ar-9	ar-13	VERIFIED	A	Immediately after take off			Doc 4444 4.3.2.1.3 b) 1)		In IMC a/c on aerodrome control to approach control will be transferred:
692	ar-9	ar-13	VERIFIED	C	6			CAR Sec 4 Series B Pt I 5.2.4.5 (23 m = 6)		No of runway threshold stripes for a runway width of 23 meters is
693	ar-7	ar-9, ar-11	VERIFIED	C	4			as #85 (1500 m falls in the 1500-2399 band: 4 pairs)		Pair of landing stripes for a runway LDA of 1500 meters is:
694	ar-4	ar-7, ar-12	VERIFIED	C	Above minima			CAR Sec 8 Series C Pt I 4.6.5 (touchdown RVR controlling; mid-point minimum 125 m)	800 m TDZ and 300 m mid-point both satisfy the filed 500 m	Filed minima 500m, RVR beginning 800m, RVR mid 300m.Aerodrome is:
695	ar-2	ar-2, ar-14, ar-15	VERIFIED	A	COA			Aircraft Rules r.3(21A)		Flight manual is a manual associated with
696	ar-9	ar-13	VERIFIED	C	No of seats			Aircraft Rules r.38B (seating capacity)		No of cabin crew is required according to
